10000,9102
0,5252
4,5897
7,4942
7,8891
11,8589
12,9788
14,757
15,5438
16,4223
18,535
18,6819
20,5506
21,8134
21,9103
22,7618
24,7271
28,2584
28,4140
29,3137
29,4254
29,5314
30,51
30,1529
31,9400
32,9927
35,4092
38,3747
38,5189
38,7877
39,1419
39,3186
39,7983
40,6010
42,1935
44,7453
45,4618
45,9239
48,8267
49,2199
50,323
50,899
51,30
51,5409
51,7054
51,8676
52,1489
52,1559
53,889
54,974
54,7062
55,3074
55,8857
57,1855
57,9029
59,2695
59,5321
60,763
62,8404
63,846
66,4081
67,504
69,2794
70,1520
70,4449
70,5570
71,2859
71,5548
73,799
73,6000
74,1022
75,9795
76,3217
76,7509
77,4131
82,9089
85,1312
87,2441
89,614
91,1553
91,6515
93,1873
94,1931
94,4272
94,5099
95,9512
96,3996
98,2741
99,2736
100,4735
101,1066
103,2614
103,7813
103,8794
103,9673
105,2001
105,4768
106,1688
106,9283
107,1222
107,2187
108,3598
110,4340
111,9041
112,2803
112,8506
112,9869
113,2824
113,6374
115,4587
118,508
118,3459
119,4629
119,6892
122,1796
123,7339
123,9572
125,2608
126,3620
126,8402
127,9277
129,4744
130,6600
131,4648
133,1176
133,2835
133,4932
134,2640
134,6527
134,8697
138,5929
138,8529
139,8687
140,2549
141,4602
141,5824
144,4553
144,6017
149,1448
151,7281
152,8350
153,4445
153,5209
154,2876
155,9660
156,485
156,7170
158,3039
159,1421
160,2915
162,1281
162,1617
164,3241
166,6952
166,9503
167,1084
167,8185
167,9701
170,4511
170,7046
171,2594
171,5090
174,9761
175,2583
175,4456
176,8140
178,6426
179,1715
180,5964
182,7168
185,8959
186,3122
186,5580
189,2999
191,3582
192,4259
193,1691
194,2431
194,5579
194,8729
196,9885
199,9966
204,520
205,2561
205,5944
206,1267
206,7456
208,8440
210,7022
210,9244
211,4831
212,7352
213,2737
213,8578
214,3976
214,5767
214,5910
215,9819
216,3084
216,7743
217,599
217,6654
219,4630
220,6861
220,7368
224,4341
225,2972
231,2110
232,6634
233,6353
234,863
234,8217
234,8333
235,660
235,2919
236,1498
236,5091
240,6951
240,7566
241,915
241,7806
247,1563
247,8837
248,2722
249,7237
251,1779
251,4278
251,9222
251,9335
252,4060
252,6276
252,7718
253,7616
259,6939
259,8498
259,9779
260,8385
260,8870
264,7872
266,873
266,5227
266,9329
267,1560
267,8898
268,8761
272,7238
273,2606
273,9050
273,9618
275,9908
278,3335
278,5574
278,8237
279,2745
279,2882
280,1323
280,7002
281,2683
282,4430
282,6369
282,7990
285,993
286,1008
286,4276
288,4226
289,3559
291,6500
293,4297
296,2276
297,5319
298,3497
298,4366
299,1093
300,9828
301,5859
301,6019
304,2674
310,1272
311,1820
313,532
316,6161
317,5455
318,912
318,8284
319,1394
319,9770
321,7010
322,1963
322,4777
322,6332
322,6492
322,9642
323,50
323,9012
324,1509
327,8292
330,6886
330,9831
332,687
333,4620
335,1151
336,5204
337,3085
337,9236
339,7239
341,5408
342,418
342,2842
342,8618
343,3696
343,5150
344,6461
345,1078
345,6507
348,6432
350,6224
350,9098
352,8410
353,7585
354,8573
358,591
358,4762
358,5777
360,9015
362,4338
362,5842
363,7068
364,7121
365,2883
365,8880
366,1810
366,4006
366,6445
367,7414
369,7296
369,9015
369,9632
371,497
371,860
371,1264
371,4177
372,1703
372,8531
373,9924
374,9866
375,4755
375,9147
376,6466
378,2764
378,7426
379,2971
380,6147
381,2719
383,875
384,7444
386,1998
387,6512
388,2686
389,2361
389,8336
393,2805
396,7324
397,4861
399,2817
400,5170
400,7050
400,7522
402,9225
405,7992
406,7348
406,9108
406,9904
406,9927
407,2973
408,3959
409,5178
409,7244
410,768
411,5162
413,3928
413,6882
414,4342
415,7931
418,342
419,6220
420,783
422,7503
425,9897
426,5920
428,5115
429,6405
431,5164
432,3442
